DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 21,19401001,    0,     ,
 21,19401002,    0,     ,
 21,19401003,   32,     ,
 21,19401004,    0,     ,
 21,19401005,    4,     ,
 21,19401006,    0,     ,
 21,19401007,  261,     ,
 21,19401008,    0,     ,
 21,19401009,   52,     ,
 21,19401010,    0,     ,
 21,19401011,   10,     ,
 21,19401012,    0,     ,
 21,19401013,   33,     ,
 21,19401014,    7,     ,
 21,19401015,    0,     ,
 21,19401016,   14,     ,
 21,19401017,    0,     ,
 21,19401018,    0,     ,
 21,19401019,   11,     ,
 21,19401020,    0,     ,
 21,19401021,    0,     ,
 21,19401022,   60,     ,
 21,19401023,    0,     ,
 21,19401024,    0,     ,
 21,19401025,    0,     ,
 21,19401026,    0,     ,
 21,19401027,    0,     ,
 21,19401028,    0,     ,
 21,19401029,    0,     ,
 21,19401030,    0,     ,
 21,19401031,    5,     ,
 21,19401101,   92,     ,
 21,19401102,   32,     ,
 21,19401103,  115,     ,
 21,19401104,   23,     ,
 21,19401105,   82,     ,
 21,19401106,   80,     ,
 21,19401107,  154,     ,
 21,19401108,   96,     ,
 21,19401109,    0,     ,
 21,19401110,    0,     ,
 21,19401111,  114,     ,
 21,19401112,   83,     ,
 21,19401113,   76,     ,
 21,19401114,   77,     ,
 21,19401115,    0,     ,
 21,19401116,   16,     ,
 21,19401117,    0,     ,
 21,19401118,    0,     ,
 21,19401119,    0,     ,
 21,19401120,   64,     ,
 21,19401121,   96,     ,
 21,19401122,   15,     ,
 21,19401123,    0,     ,
 21,19401124,    3,     ,
 21,19401125,    0,     ,
 21,19401126,    0,     ,
 21,19401127,    0,     ,
 21,19401128,   51,     ,
 21,19401129,    4,     ,
 21,19401130,    0,     ,
 21,19401201,   34,     ,
 21,19401202,    0,     ,
 21,19401203,  124,     ,
 21,19401204,   55,     ,
 21,19401205,   78,     ,
 21,19401206,    0,     ,
 21,19401207,  159,     ,
 21,19401208,  199,     ,
 21,19401209,   45,     ,
 21,19401210,   37,     ,
 21,19401211,   18,     ,
 21,19401212,   20,     ,
 21,19401213,    0,     ,
 21,19401214,    0,     ,
 21,19401215,    0,     ,
 21,19401216,    0,     ,
 21,19401217,   10,     ,
 21,19401218,   15,     ,
 21,19401219,   90,     ,
 21,19401220,    0,     ,
 21,19401221,    0,     ,
 21,19401222,    0,     ,
